decimal_year,gmsl_mm,date
2009.3547412914347,29.926,2009-05-10
2009.3819299674274,29.46,2009-05-20
2009.4087587911333,28.985,2009-05-30
2009.4361931056792,30.753,2009-06-09
2009.4634222634315,31.317,2009-06-19
2009.4905904801526,29.644,2009-06-29
2009.5177593447092,28.016,2009-07-08
2009.5449287128365,30.139,2009-07-18
2009.5720923766066,33.739,2009-07-28
2009.5992582420895,30.867,2009-08-07
2009.6264280678454,31.39,2009-08-17
2009.653590854211,31.793,2009-08-27
2009.6807599447006,32.562,2009-09-06
2009.7079240497612,34.588,2009-09-16
2009.7350876574926,33.55,2009-09-26
2009.76225394717,32.71,2009-10-06
2009.7894164817806,33.109,2009-10-16
2009.816586609805,34.565,2009-10-26
2009.8437520158766,34.965,2009-11-04
2009.8709185977104,31.377,2009-11-14
2009.8980889233533,33.343,2009-11-24
2009.9252506174219,31.494,2009-12-04
2009.9524042359621,30.352,2009-12-14
2009.9795878870482,35.342,2009-12-24
2010.006752576116,32.391,2010-01-03
2010.0339228361204,32.344,2010-01-13
2010.0610836607705,31.663,2010-01-23
2010.0882503277605,28.43,2010-02-02
2010.115415837009,32.545,2010-02-12
2010.1425986034528,35.328,2010-02-22
2010.1697461102124,38.707,2010-03-03
2010.1969171698331,32.219,2010-03-13
2010.2240856277954,32.599,2010-03-23
2010.2512513880897,32.077,2010-04-02
2010.2784157910444,34.869,2010-04-12
2010.3055857664126,34.779,2010-04-22
2010.3327499171917,32.091,2010-05-02
2010.3599128493026,32.877,2010-05-12
2010.387076835276,36.594,2010-05-22
2010.4142394195371,36.393,2010-06-01
2010.4414076659782,36.925,2010-06-11
2010.468571272396,37.146,2010-06-21
2010.4956818495598,36.827,2010-06-30
2010.5229070476057,35.45,2010-07-10
2010.5500744039277,36.328,2010-07-20
2010.5772410467998,33.991,2010-07-30
2010.6044089259249,32.493,2010-08-09
2010.6315720811788,32.906,2010-08-19
2010.658738628684,28.514,2010-08-29
2010.6859075921336,29.906,2010-09-08
2010.7130656882402,29.372,2010-09-18
2010.740235664443,28.185,2010-09-28
2010.7674026355007,28.507,2010-10-08
2010.7945785053932,31.373,2010-10-18
2010.8217335303457,29.396,2010-10-27
2010.8489012839027,28.359,2010-11-06
2010.8760735140263,29.324,2010-11-16
2010.9032338010145,25.931,2010-11-26
2010.9304059493995,26.808,2010-12-06
2010.9575684845984,27.278,2010-12-16
2010.984736173583,29.864,2010-12-26
2011.011899427033,27.199,2011-01-05
2011.039067260987,27.329,2011-01-15
2011.0661684145757,29.218,2011-01-25
2011.0934010390488,28.758,2011-02-04
2011.1205668199254,28.446,2011-02-14
2011.147727189727,28.407,2011-02-23
2011.1748981528076,29.47,2011-03-05
2011.202063165996,29.774,2011-03-15
2011.2292340041558,26.452,2011-03-25
2011.2563939533077,28.931,2011-04-04
2011.2835680037988,28.227,2011-04-14
2011.3107343662875,28.039,2011-04-24
2011.3378961049914,25.448,2011-05-04
2011.365060419142,30.024,2011-05-14
2011.3922244299786,31.023,2011-05-24
2011.4193871954335,31.094,2011-06-03
2011.446551584801,32.49,2011-06-12
2011.4737194085258,34.867,2011-06-22
2011.5008758652493,32.798,2011-07-02
2011.5280585679309,32.174,2011-07-12
2011.5552255708403,31.308,2011-07-22
2011.5823878904469,32.036,2011-08-01
2011.6095549269608,35.116,2011-08-11
2011.6366612050358,35.424,2011-08-21
2011.6638854942723,34.538,2011-08-31
2011.691050765237,32.457,2011-09-10
2011.7182162497081,31.363,2011-09-20
2011.7453836224302,33.431,2011-09-30
2011.7725467644204,34.616,2011-10-09
2011.7997109783723,36.45,2011-10-19
2011.8268827976992,31.339,2011-10-29
2011.8540456423873,30.363,2011-11-08
2011.8812196668832,32.079,2011-11-18
2011.9083827907832,35.924,2011-11-28
2011.9355502531032,35.125,2011-12-08
2011.9627169670687,35.904,2011-12-18
2011.9898862361335,35.385,2011-12-28
2012.017002463985,37.902,2012-01-07
2012.0440912633107,37.905,2012-01-17
2012.0711788465458,39.566,2012-01-27
2012.098214691441,39.072,2012-02-05
2012.1253678405378,40.136,2012-02-15
2012.1524579445102,38.276,2012-02-25
2012.1795552707258,37.626,2012-03-06
2012.2066265830326,37.821,2012-03-16
2012.23373965057,39.797,2012-03-26
